"loss.id","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
1,1,712810.998088309,740248.60637176,754289.170401207,763864.632204814,771266.546048385,778540.752702364,788357.807768493,788357.807768493,788357.807768493,788357.807768493,788357.807768493,788357.807768493,788357.807768493,788357.807768493
2,1,409583.570257506,439989.350627437,456358.737113731,488785.808357514,506223.158775698,516176.402987194,533601.910741843,533601.910741843,533601.910741843,533601.910741843,533601.910741843,533601.910741843,533601.910741843,533601.910741843
3,1,326690.187711024,441480.88751779,491309.184815936,536132.084904805,575818.012350733,610827.985443003,647421.147111606,647421.147111606,647421.147111606,647421.147111606,647421.147111606,647421.147111606,647421.147111606,647421.147111606
4,1,445248.985420411,497967.377362493,525076.128295711,549372.083729411,586288.6323696,606212.563988821,630823.809130985,630823.809130985,630823.809130985,630823.809130985,630823.809130985,630823.809130985,630823.809130985,630823.809130985
5,1,412514.888705826,459495.00533045,471728.50767218,481450.653656434,490204.580348751,504581.276336472,509747.551826205,509747.551826205,509747.551826205,509747.551826205,509747.551826205,509747.551826205,509747.551826205,509747.551826205
6,1,726657.905166616,754249.581104602,764638.903530743,770588.155246767,783602.026059939,792737.615214815,800643.069161317,800643.069161317,800643.069161317,800643.069161317,800643.069161317,800643.069161317,800643.069161317,800643.069161317
7,1,413975.147926964,474650.756119493,504758.824459263,532282.162029311,555623.457192664,589839.482150873,608950.484698064,608950.484698064,608950.484698064,608950.484698064,608950.484698064,608950.484698064,608950.484698064,608950.484698064
8,1,388997.510761176,545936.136505924,603080.314659109,672105.906259172,712024.41774145,754226.683846986,777467.493828283,777467.493828283,777467.493828283,777467.493828283,777467.493828283,777467.493828283,777467.493828283,777467.493828283
9,1,370819.044894045,443839.364039813,485885.202119817,537886.985372306,569195.121867047,598337.14436239,624771.784872393,624771.784872393,624771.784872393,624771.784872393,624771.784872393,624771.784872393,624771.784872393,624771.784872393
10,1,400506.349176099,463211.54698218,486784.664306251,511648.13992844,527937.321070876,548674.25327845,569041.951557644,569041.951557644,569041.951557644,569041.951557644,569041.951557644,569041.951557644,569041.951557644,569041.951557644
11,1,381433.632381371,437712.398679265,461888.087457506,493716.481837463,513462.18933585,534864.767189373,553001.16607505,553001.16607505,553001.16607505,553001.16607505,553001.16607505,553001.16607505,553001.16607505,553001.16607505
12,1,776888.577934266,813893.155626216,832912.227009838,854400.137141873,867982.207241557,875418.200930225,893354.151250816,893354.151250816,893354.151250816,893354.151250816,893354.151250816,893354.151250816,893354.151250816,893354.151250816
13,1,666207.288377462,674646.391804899,678161.244385907,682579.880351322,685195.355941515,687989.591124258,690266.057558125,690266.057558125,690266.057558125,690266.057558125,690266.057558125,690266.057558125,690266.057558125,690266.057558125
14,1,412158.84209149,507925.119330366,561523.383415828,631993.474178072,669282.083027064,691053.308564385,723590.859953154,723590.859953154,723590.859953154,723590.859953154,723590.859953154,723590.859953154,723590.859953154,723590.859953154
15,1,569800.577282342,613369.195388827,635698.161458941,663360.458098273,702004.25898707,718106.634306481,733818.447022245,733818.447022245,733818.447022245,733818.447022245,733818.447022245,733818.447022245,733818.447022245,733818.447022245
16,1,376903.189535804,486279.933754644,555766.207939055,591392.480790249,635284.870172129,678026.626898019,719010.572733197,719010.572733197,719010.572733197,719010.572733197,719010.572733197,719010.572733197,719010.572733197,719010.572733197
17,1,235998.438875973,298825.405535248,335755.552648749,366811.498046885,402875.146081881,422279.382167735,431602.854446912,431602.854446912,431602.854446912,431602.854446912,431602.854446912,431602.854446912,431602.854446912,431602.854446912
18,1,578453.03617913,630402.447050203,649413.202194783,667526.21869392,684364.597706247,695057.679585779,706614.739174229,706614.739174229,706614.739174229,706614.739174229,706614.739174229,706614.739174229,706614.739174229,706614.739174229
19,1,407025.80061372,537758.211838392,578585.957701136,623839.678433324,667565.769274768,712674.499602551,740587.731073763,740587.731073763,740587.731073763,740587.731073763,740587.731073763,740587.731073763,740587.731073763,740587.731073763
20,1,528634.372138087,615311.747874217,669034.81714909,721259.147105848,754468.798535232,799660.222405096,820637.459200123,820637.459200123,820637.459200123,820637.459200123,820637.459200123,820637.459200123,820637.459200123,820637.459200123
21,1,370987.855042865,470590.330223616,502294.1513342,537615.293992224,560703.810997004,582388.905147244,601453.443095465,601453.443095465,601453.443095465,601453.443095465,601453.443095465,601453.443095465,601453.443095465,601453.443095465
22,1,445872.07528878,502080.021336471,527790.460430306,551013.042029784,585260.815603097,603269.654574082,619974.492768707,619974.492768707,619974.492768707,619974.492768707,619974.492768707,619974.492768707,619974.492768707,619974.492768707
23,1,580898.222300788,632978.086113685,659020.598532892,686711.914951977,705335.618349523,721081.118838123,738790.03711421,738790.03711421,738790.03711421,738790.03711421,738790.03711421,738790.03711421,738790.03711421,738790.03711421
24,1,677320.780971583,726378.393951733,763226.424429863,784448.170744752,805622.040850468,814350.992386044,834566.453852264,834566.453852264,834566.453852264,834566.453852264,834566.453852264,834566.453852264,834566.453852264,834566.453852264
25,1,454434.860022829,512994.707730825,542339.92513267,571487.531378402,590613.560900357,602069.763329282,613468.411548936,613468.411548936,613468.411548936,613468.411548936,613468.411548936,613468.411548936,613468.411548936,613468.411548936
26,1,634881.829279518,649370.604065696,656890.003369042,663938.930472514,670898.033470408,675263.886557263,679342.363654624,679342.363654624,679342.363654624,679342.363654624,679342.363654624,679342.363654624,679342.363654624,679342.363654624
27,1,674983.245933505,727319.305532313,783843.624068248,853134.976857649,885833.769181524,909946.957436729,938368.566469531,938368.566469531,938368.566469531,938368.566469531,938368.566469531,938368.566469531,938368.566469531,938368.566469531
28,1,503530.653363896,566396.186694275,625352.744243184,665626.013376769,687564.05077036,717832.418983506,749660.951272511,749660.951272511,749660.951272511,749660.951272511,749660.951272511,749660.951272511,749660.951272511,749660.951272511
29,1,285784.891753101,351570.83190204,405397.110953172,449739.141301633,499564.543191067,524781.210326803,553174.131807675,553174.131807675,553174.131807675,553174.131807675,553174.131807675,553174.131807675,553174.131807675,553174.131807675
30,1,383857.380400325,446555.595758327,467234.249609325,486437.030703025,505340.52828157,520564.414401272,529238.78366262,529238.78366262,529238.78366262,529238.78366262,529238.78366262,529238.78366262,529238.78366262,529238.78366262
31,1,480833.566129427,536969.373640823,565104.134475292,588919.999179098,611235.657378077,623737.003343761,640157.473603843,640157.473603843,640157.473603843,640157.473603843,640157.473603843,640157.473603843,640157.473603843,640157.473603843
32,1,468801.131608396,531888.550411967,549276.867999731,568377.003565226,595018.884917524,605409.016336176,620361.784349294,620361.784349294,620361.784349294,620361.784349294,620361.784349294,620361.784349294,620361.784349294,620361.784349294
33,1,338314.809026989,378375.435737293,400650.606842021,413783.389357454,426460.584402919,440019.037392018,446184.969321242,446184.969321242,446184.969321242,446184.969321242,446184.969321242,446184.969321242,446184.969321242,446184.969321242
34,1,415691.294631818,490861.060828648,537595.459917423,564984.851998441,588988.890060221,607599.587940786,632628.950140083,632628.950140083,632628.950140083,632628.950140083,632628.950140083,632628.950140083,632628.950140083,632628.950140083
35,1,553288.768242395,557747.702297895,559988.952938648,563639.901930512,564872.853169158,566112.542978192,567642.209498169,567642.209498169,567642.209498169,567642.209498169,567642.209498169,567642.209498169,567642.209498169,567642.209498169
36,1,412480.534839961,453660.496006595,463714.594947784,492953.259300077,518135.072037623,530025.141168641,549976.155131525,549976.155131525,549976.155131525,549976.155131525,549976.155131525,549976.155131525,549976.155131525,549976.155131525
37,1,476529.826056285,493057.622586194,499682.394324492,507101.668704458,511954.723548468,515365.011955211,519032.259736819,519032.259736819,519032.259736819,519032.259736819,519032.259736819,519032.259736819,519032.259736819,519032.259736819
38,1,419084.283136002,479145.288803962,506746.574907185,531484.480875061,557700.247860624,574518.154851757,596703.901147127,596703.901147127,596703.901147127,596703.901147127,596703.901147127,596703.901147127,596703.901147127,596703.901147127
39,1,692441.215724133,715510.038603518,743508.005415026,762763.351574929,785139.934001052,791777.896346307,801049.234422188,801049.234422188,801049.234422188,801049.234422188,801049.234422188,801049.234422188,801049.234422188,801049.234422188
40,1,354632.273314639,394921.328913188,409620.047459698,428839.982082584,449556.693421502,457351.442850454,470744.017030292,470744.017030292,470744.017030292,470744.017030292,470744.017030292,470744.017030292,470744.017030292,470744.017030292
41,1,403957.128942135,478168.095514966,538266.782728801,609681.644147929,646586.925683606,680615.355635913,712808.687013472,712808.687013472,712808.687013472,712808.687013472,712808.687013472,712808.687013472,712808.687013472,712808.687013472
42,1,296519.531331188,525352.877049781,591890.543857409,629275.217921084,672955.350983688,704499.251039086,723426.888522428,723426.888522428,723426.888522428,723426.888522428,723426.888522428,723426.888522428,723426.888522428,723426.888522428
43,1,711228.474293938,725615.005066131,734241.78386275,746040.943715576,751172.332918485,758748.818664395,764366.407781256,764366.407781256,764366.407781256,764366.407781256,764366.407781256,764366.407781256,764366.407781256,764366.407781256
44,2,385173.17307458,426204.214913187,443837.31720231,471974.706687676,488564.064691259,502129.256372086,515632.645060029,515632.645060029,515632.645060029,515632.645060029,515632.645060029,515632.645060029,515632.645060029,NA
45,2,459243.217648349,508068.157347242,530651.290529792,542093.477834932,561700.109205186,581663.578236172,607732.756840388,607732.756840388,607732.756840388,607732.756840388,607732.756840388,607732.756840388,607732.756840388,NA
46,2,421853.059282615,495927.202471581,558047.322416104,606288.225222771,633832.598660131,663680.43968222,699123.057090923,699123.057090923,699123.057090923,699123.057090923,699123.057090923,699123.057090923,699123.057090923,NA
47,2,350190.760358258,463437.765133145,500152.909970905,538107.243318527,599352.924252909,622237.416838325,665401.927005038,665401.927005038,665401.927005038,665401.927005038,665401.927005038,665401.927005038,665401.927005038,NA
48,2,482984.386963445,562252.715882332,587472.669734453,621378.794377425,638420.623803582,655761.684672735,680926.33985521,680926.33985521,680926.33985521,680926.33985521,680926.33985521,680926.33985521,680926.33985521,NA
49,2,370324.571525776,399033.491179385,411153.267404739,418839.517863303,430463.912805432,440371.585318639,447526.203391498,447526.203391498,447526.203391498,447526.203391498,447526.203391498,447526.203391498,447526.203391498,NA
50,2,344904.984518726,469820.236546157,531295.725056682,580067.088956079,611694.979781578,645450.240207942,704174.709602993,704174.709602993,704174.709602993,704174.709602993,704174.709602993,704174.709602993,704174.709602993,NA
51,2,435231.907196002,488454.081267995,505926.715926101,532943.444611325,549763.891605246,556164.519446211,578350.598113394,578350.598113394,578350.598113394,578350.598113394,578350.598113394,578350.598113394,578350.598113394,NA
52,2,789117.545827901,862116.257941034,887414.449571897,911117.122169529,923156.247010696,939096.473495635,965107.281023465,965107.281023465,965107.281023465,965107.281023465,965107.281023465,965107.281023465,965107.281023465,NA
53,2,456246.665698248,544017.03664873,627908.302598438,668761.189864322,700630.594118622,760411.370533597,783911.353497939,783911.353497939,783911.353497939,783911.353497939,783911.353497939,783911.353497939,783911.353497939,NA
54,2,329221.275596724,368694.202815497,398012.625373211,425554.140682079,445245.659515276,455714.054123754,464848.80572477,464848.80572477,464848.80572477,464848.80572477,464848.80572477,464848.80572477,464848.80572477,NA
55,2,431024.453643705,496988.630703219,532645.984629695,569909.319160602,597882.495822563,612583.813274508,639711.39168585,639711.39168585,639711.39168585,639711.39168585,639711.39168585,639711.39168585,639711.39168585,NA
56,2,686859.334231882,653748.980633188,646841.663090703,635480.168435766,622840.729714108,618199.479828003,609423.496259569,609423.496259569,609423.496259569,609423.496259569,609423.496259569,609423.496259569,609423.496259569,NA
57,2,502165.418164012,521882.511603051,534020.716063185,545378.195436924,552718.063203322,562530.769385047,570858.117388197,570858.117388197,570858.117388197,570858.117388197,570858.117388197,570858.117388197,570858.117388197,NA
58,2,582763.829245347,616287.16439154,632127.085965033,652420.499173517,671881.323847164,684672.48149005,696098.71341715,696098.71341715,696098.71341715,696098.71341715,696098.71341715,696098.71341715,696098.71341715,NA
59,2,620759.260946029,640742.737846163,655205.005868768,670472.023665543,678845.355677127,682860.111197899,692318.016088466,692318.016088466,692318.016088466,692318.016088466,692318.016088466,692318.016088466,692318.016088466,NA
60,2,572424.211799799,729998.917202205,810341.007128438,860185.100600109,939073.616728165,988188.031655459,1036025.03904095,1036025.03904095,1036025.03904095,1036025.03904095,1036025.03904095,1036025.03904095,1036025.03904095,NA
61,2,376166.404134783,459963.605302423,516342.223876931,564954.517996276,591227.740988208,627226.647909708,653820.366887717,653820.366887717,653820.366887717,653820.366887717,653820.366887717,653820.366887717,653820.366887717,NA
62,2,736705.47208996,800707.045005273,825695.041081099,866331.8065766,911786.127968125,936996.872113917,983023.603384295,983023.603384295,983023.603384295,983023.603384295,983023.603384295,983023.603384295,983023.603384295,NA
63,2,298433.447265194,346656.837031566,376687.90095261,419634.2885326,441167.351517286,463241.079037144,475714.201165755,475714.201165755,475714.201165755,475714.201165755,475714.201165755,475714.201165755,475714.201165755,NA
64,2,335350.933348191,358479.430274878,393823.985110295,415095.42662422,458082.32543753,470477.154234688,494344.300706048,494344.300706048,494344.300706048,494344.300706048,494344.300706048,494344.300706048,494344.300706048,NA
65,2,470035.851431622,512181.022605565,545598.581196598,595824.145811935,614992.591665489,639492.402699305,651939.051653703,651939.051653703,651939.051653703,651939.051653703,651939.051653703,651939.051653703,651939.051653703,NA
66,2,339873.069641077,426075.566154629,470581.128069746,529506.710168781,564727.559233797,618635.305863494,642726.931671045,642726.931671045,642726.931671045,642726.931671045,642726.931671045,642726.931671045,642726.931671045,NA
67,2,226296.72936993,329943.209729336,394251.896102404,436168.816685423,481838.902681992,516271.633887433,554440.416893397,554440.416893397,554440.416893397,554440.416893397,554440.416893397,554440.416893397,554440.416893397,NA
68,2,281327.05794474,394159.163904212,447854.470173188,514519.005156554,543331.006224276,586940.600459163,609093.57992255,609093.57992255,609093.57992255,609093.57992255,609093.57992255,609093.57992255,609093.57992255,NA
69,2,489002.544613331,552039.090787035,595959.891815795,623548.299319,646231.79838608,671031.077679743,697177.32697296,697177.32697296,697177.32697296,697177.32697296,697177.32697296,697177.32697296,697177.32697296,NA
70,2,466840.02912418,608266.399951834,655973.620358881,701269.857876015,727793.311279358,758736.015042571,787196.314545958,787196.314545958,787196.314545958,787196.314545958,787196.314545958,787196.314545958,787196.314545958,NA
71,2,416691.730788725,449459.221409721,466574.783243401,482109.178363354,489854.90710016,496077.282494693,504471.560295368,504471.560295368,504471.560295368,504471.560295368,504471.560295368,504471.560295368,504471.560295368,NA
