"year","1","2","3","4","5","6","7","8","9","10","11","12","notification_level"
1,684902.793120683,793774.740820893,841231.258342016,931111.250631266,1222595.4847334,1400622.64528983,1120097.7369545,1073077.64956425,1054108.67445752,1041288.85705314,1041288.85705314,1041288.85705314,750000
1,553466.441053245,661011.865972896,698041.402226678,854552.588094438,865299.935399011,872935.170468459,865645.115905751,862885.481670483,860987.573673818,860263.819959459,860263.819959459,860263.819959459,750000
1,353643.833925815,624465.667783828,724295.892825047,863776.863659666,832640.869297704,825546.554175728,836458.91758835,839065.018853939,840245.718065126,841628.698032608,841628.698032608,841628.698032608,750000
1,576217.570599702,645148.689480991,754432.079333006,822975.284980362,903739.947527736,961506.03796746,920130.769919075,896243.309695297,881639.832815731,860983.390028727,860983.390028727,860983.390028727,750000
1,275075.42671203,398087.173012685,495955.046273422,667961.028371047,845951.784607898,967926.54298741,859799.475277239,824625.357859877,770242.739788625,740556.454299184,740556.454299184,740556.454299184,750000
1,292406.355507784,483796.842835615,608288.037617153,736286.623358899,804941.811010602,853534.823703688,814945.913756991,775968.183414647,769998.292074106,764722.280864611,764722.280864611,764722.280864611,750000
1,553459.510539038,658276.712752364,703544.611620393,770605.024684947,773928.67205455,775759.824529564,773171.838806542,772472.043564881,772300.032872947,771989.662434425,771989.662434425,771989.662434425,750000
1,418575.752751406,588468.798357174,661098.307243736,731471.755942096,810778.588637048,871003.748137427,809865.422023369,780853.919340811,771577.546127675,760461.944818887,760461.944818887,760461.944818887,750000
1,600934.105907445,682946.266449176,706852.726334398,812906.724516596,812561.643310123,812397.00194517,812571.761503991,812649.648406417,812677.43769298,812692.903363921,812692.903363921,812692.903363921,750000
1,101234.15960451,280365.463442162,414757.781646972,510056.65840488,773152.254470141,885172.594412982,756859.979884234,661999.215112925,639466.721920042,626179.525783878,626179.525783878,626179.525783878,750000
1,230232.833211306,436640.702099022,509551.558684556,599115.429832571,758852.460621857,830573.634171485,773749.61359285,719017.336979128,698401.590725471,674482.833819325,674482.833819325,674482.833819325,750000
1,287461.791729864,509423.247120665,639885.521722639,756873.610092468,919412.222265387,992092.549216675,912925.368591864,867078.455297693,852783.522226271,836202.357653566,836202.357653566,836202.357653566,750000
1,466890.976601443,617537.064319943,684509.687803159,766954.978251801,845315.000781511,887154.985802658,833907.364891017,808779.749097503,804827.608436187,800375.341212235,800375.341212235,800375.341212235,750000
1,590804.863910412,824384.885399591,897849.576253796,1042574.75728799,1125250.14342144,1172378.46598382,1116882.46121251,1094175.76921794,1087457.73193291,1080452.13000685,1080452.13000685,1080452.13000685,750000
1,399913.857487609,579771.66562708,661036.598553782,769294.186438853,750191.09480542,741732.194752907,750691.713140719,754117.079563819,755708.426173787,759062.096240771,759062.096240771,759062.096240771,750000
1,393247.761124944,532802.35734801,627068.881268329,724486.787291562,909266.575761237,980100.228199367,891151.015613964,824999.17082138,818937.651646702,815065.576788092,815065.576788092,815065.576788092,750000
1,237096.156396365,457306.370177347,590016.061310896,824995.061927186,871802.616910652,895272.640284717,881291.743436536,862923.592913718,856587.5899537,849603.218264855,849603.218264855,849603.218264855,750000
1,345190.580110718,473837.549354159,576617.600829657,662359.298614695,754675.889231792,800029.697414752,777337.057597518,717381.938370254,710481.657509002,703614.028651358,703614.028651358,703614.028651358,750000
1,511879.111597935,642363.523677005,678576.741665843,807374.481620395,759840.168208391,735456.065288482,744430.072181898,754871.973638549,778737.219460792,793201.79720935,793201.79720935,793201.79720935,750000
1,313316.368801634,388205.526004251,515257.74773283,728963.220162826,747618.993842478,761128.225249869,748699.759675033,741082.535809843,738214.074087428,735324.561717022,735324.561717022,735324.561717022,750000
1,455772.366388146,612833.764983018,673765.484596795,766233.88139075,875576.187181346,936024.554423767,875079.960264486,865413.59043194,852641.257961959,823332.068129354,823332.068129354,823332.068129354,750000
1,475559.960483149,560198.105320571,585475.650974032,660892.08910061,950933.895139762,1036035.83880346,904601.596560025,854334.630681474,837447.256287472,819627.571422165,819627.571422165,819627.571422165,750000
1,325475.150685934,480904.838935242,552023.296918671,660879.306904509,724496.818876215,758917.418470416,714832.620649711,703029.73001289,697278.610053929,691885.2526608,691885.2526608,691885.2526608,750000
1,277281.534928748,657659.153429475,820996.75230279,983800.771844695,1311770.19292449,1451284.96129219,1316691.07457638,1220046.14031361,1172428.96315978,1141777.04687583,1141777.04687583,1141777.04687583,750000
1,762462.188600058,822016.43841663,860820.612550324,890754.012051506,920508.336341425,938144.498986429,923547.650661597,909785.164168322,905783.841002592,902012.288060923,902012.288060923,902012.288060923,750000
1,309092.901923469,474492.228366221,590364.351428223,693868.560790472,848738.068086651,903707.697551897,827835.296983349,808544.248370334,804178.517655698,799334.895571688,799334.895571688,799334.895571688,750000
1,377619.304021873,485447.727859451,553957.074334461,684011.329612013,802058.096885049,862328.88666929,814831.472626902,780065.718569019,760211.171445597,745118.535900641,745118.535900641,745118.535900641,750000
1,584345.438272614,724251.344556468,857988.813786944,1041022.68431875,1143576.02803994,1211272.06802686,1143807.42031474,1122417.79482212,1097818.4847505,1082618.84718127,1082618.84718127,1082618.84718127,750000
2,526422.939969281,646737.597789507,701675.208860593,759338.689292794,826891.364866065,855918.104373587,814334.485939328,798406.329876303,797603.791126589,796398.905634485,796398.905634485,NA,750000
2,264281.482047112,400642.334627705,517400.657154767,768635.765127811,791090.733862949,802668.467788811,792476.090534958,784062.874298423,781504.652731963,777237.786225568,777237.786225568,NA,750000
2,681671.250348693,858622.40649341,905752.207868653,945920.025263757,1196845.32252111,1324785.40259332,1235754.46362949,1089934.2991943,1064494.80129406,1023142.15124048,1023142.15124048,NA,750000
2,555106.521236708,722738.887752375,772544.314229711,854553.09027948,997579.483769501,1091817.22410896,997774.992225462,947100.944627655,928415.272483376,897576.498109414,897576.498109414,NA,750000
2,294531.641927926,403205.656479277,501326.906108207,602906.583432867,758624.567279808,853707.967249121,734714.811507021,695397.089312936,690316.416151578,665597.730791921,665597.730791921,NA,750000
2,470258.049614559,705364.323506425,803675.611150794,981754.089442012,997721.695557716,1008620.18540196,997220.037419777,992971.422584932,989829.446528174,989595.158908058,989595.158908058,NA,750000
2,375217.862788418,547274.54794966,612672.46070037,747025.283551973,799571.530621181,817121.427603039,797968.999372315,782074.9011926,775522.377851685,769309.392942665,769309.392942665,NA,750000
2,261377.243058638,505521.121394705,585652.165094939,682329.579752973,844773.227423623,913018.130805063,875949.921755417,798531.144263165,762096.953117984,746323.621101969,746323.621101969,NA,750000
2,419799.045662887,584759.571034631,682938.154367071,856130.907110821,881678.964038446,903657.919916157,880032.443917081,869617.192537428,868018.817310466,866982.138881728,866982.138881728,NA,750000
2,276277.414268524,496977.08230534,573632.046805551,640743.994105795,798360.630641613,920416.490971112,796919.850707678,752260.874209146,739152.962711738,724863.427183018,724863.427183018,NA,750000
2,572113.25250329,620974.413904853,782018.841512237,850967.729265592,1207675.5015999,1423541.79610781,1137248.87679758,1064354.19722864,1012437.21412334,991517.572283902,991517.572283902,NA,750000
2,425045.604955295,558633.432459528,642212.299018432,754859.105624837,919541.761113889,976851.632907972,915611.790717826,883804.061561933,860783.816719072,840596.904304252,840596.904304252,NA,750000
2,613594.978578776,768790.147529718,895406.420716258,1036846.81961395,1218709.87677922,1329732.30543698,1203196.80607584,1162091.05407855,1141771.3707317,1119041.68226327,1119041.68226327,NA,750000
2,358763.287836652,633416.627803086,754168.34136066,917222.23065654,938891.97148584,954728.31035412,948060.832304717,938079.896039579,931479.176290659,926469.374966675,926469.374966675,NA,750000
2,467937.00836254,538695.522279656,598691.814669424,724335.899315195,750926.708941438,772256.456939506,755439.423471211,739981.808815305,737213.868599406,735019.813067158,735019.813067158,NA,750000
2,459561.524161739,850215.057427564,895497.247905796,1105193.95204632,1047384.18977934,995601.174822301,1041053.27556729,1062232.43568864,1072638.15001138,1083392.53642822,1083392.53642822,NA,750000
2,399764.732170471,530671.638098482,623431.914163574,840986.022316355,921467.787229699,928149.291423671,920634.880315811,918038.742226516,916553.538027523,915263.341538456,915263.341538456,NA,750000
2,393942.807654235,648591.49750901,684370.37680768,773392.815987618,779613.596116143,783003.659542056,779795.04241427,777449.132904019,776839.068841737,776036.777675735,776036.777675735,NA,750000
2,341040.826904738,511473.438723572,662309.869380771,827898.696110698,839894.775706951,843681.204685313,840031.580963755,837925.804235896,837268.24458387,836286.013046824,836286.013046824,NA,750000
2,278876.868144336,436325.280410974,549093.840083862,668792.406938968,866752.244348721,964268.51669879,850815.124847452,792366.616697249,780376.854446113,758537.712884271,758537.712884271,NA,750000
2,440024.636100136,544843.100555647,612996.922948788,668521.945010196,741851.855384243,795325.873018325,742814.35570344,715445.904763856,710441.456397962,698964.307707156,698964.307707156,NA,750000
2,467548.318427825,693953.297843425,768819.55102688,861147.009738121,1278732.62848059,1455514.26930812,1323004.28553458,1147183.07552674,1120013.05384936,1069556.4785804,1069556.4785804,NA,750000
2,321225.521905163,432534.447175354,464873.524768694,611156.524395756,698935.863612502,756352.248638234,689876.990904988,665631.03700198,658981.363999229,647821.421085399,647821.421085399,NA,750000
2,283063.139037766,444085.329481724,561811.105927028,689197.312066241,1020153.41378562,1243701.85282837,1046546.66737627,878975.362739852,845621.703328984,798380.136774848,798380.136774848,NA,750000
2,592782.235261554,735810.84552191,790878.58084884,880508.342240754,1048894.99414541,1202673.86193917,1005462.80431575,985482.709022815,974496.238714526,953690.76255932,953690.76255932,NA,750000
2,599342.689227572,658700.937952691,711792.947382843,802140.775692482,814443.804348498,820439.769032242,815831.285557541,811572.09958389,809561.248600169,808181.625435226,808181.625435226,NA,750000
2,381684.271256053,596530.358594011,719356.051768489,873775.834349369,891094.174980711,897248.718777331,891642.575460821,888655.296438803,887075.859027526,884416.761172213,884416.761172213,NA,750000
2,428188.311700218,575477.209034535,626479.95170514,703302.201672283,798399.030965223,863365.862788642,804815.878891659,780507.394975676,763424.271523732,741921.347051705,741921.347051705,NA,750000
2,337550.682174291,553365.011316273,668995.532558596,837560.304401499,887994.521204064,902138.964517816,889893.929269903,882915.696239522,879195.608748621,876412.410859264,876412.410859264,NA,750000
2,220830.697011242,369923.400827083,474135.198426435,557139.931831797,682572.870664594,754729.113015336,685708.558749548,652379.956862784,639670.552015241,630087.654234603,630087.654234603,NA,750000
2,432859.006537971,629155.818400875,720013.714231214,865023.6015143,897250.462905483,912612.301713579,898714.276839073,892945.763979198,888908.156538671,883225.446021718,883225.446021718,NA,750000
2,312711.940863284,567019.617042656,616768.075662788,699351.891338031,745754.192581216,764256.05342057,751781.095118599,734563.749978085,730245.696072226,725797.729997213,725797.729997213,NA,750000
2,590887.811506652,795229.695399967,859960.566319102,965213.980603264,980569.829973199,988856.459140144,979277.387274639,974571.823654492,972925.947346544,971844.193192899,971844.193192899,NA,750000
2,108909.096678361,398515.00724483,465203.5680202,562683.399611116,707641.890108848,796263.791860353,721021.051565891,670722.191795865,654051.126064081,634068.219471546,634068.219471546,NA,750000
2,399024.894320084,512161.85822325,585773.364642025,719134.012912118,993142.929066774,1165637.44110091,1029447.91822872,911705.784979409,884660.548709768,853717.056071013,853717.056071013,NA,750000
2,490154.045946747,567088.274163175,604594.332627322,662728.507375898,741527.895422686,769452.339669612,734224.74253148,707536.536706838,703767.964539673,700375.275170189,700375.275170189,NA,750000
2,447561.548670829,707468.298648194,769645.9467472,936039.967441425,961038.505448926,973468.390284848,960424.890004384,950820.76809859,949333.421713048,948606.090348576,948606.090348576,NA,750000
2,342548.938951143,580438.667144737,634003.153225648,711876.583168384,793299.879674801,837496.77874886,780016.708031141,756410.764024131,745887.756533887,741478.536176073,741478.536176073,NA,750000
2,278249.286357475,383091.812692149,456428.45118763,540161.377986963,725881.555774985,837193.145889118,705456.767040131,658142.071776574,638875.135855946,621390.409071703,621390.409071703,NA,750000
2,497339.061434608,672431.273125819,762349.35820062,868784.316123456,934582.892253775,948159.995072042,937987.698683814,929234.656478582,927188.116280793,924022.570548535,924022.570548535,NA,750000
2,698389.516266088,860912.614479005,908118.583401866,1155988.82684279,1210032.79841071,1237767.20351374,1218114.11337727,1193329.60872991,1183111.87358444,1177401.4112598,1177401.4112598,NA,750000
3,456675.315908706,509325.029298486,592767.867095564,911992.198887186,722853.638995458,604239.106719698,731525.74131359,795213.136955741,818520.739309613,834796.903020967,NA,NA,750000
3,156779.206893069,336706.775667358,411127.389570817,530079.21119673,948170.935597056,1264072.85486877,849311.603232059,733750.487665032,709289.839985447,691637.458738471,NA,NA,750000
3,355953.66086989,576372.701193099,660741.827908532,794318.347482469,989365.976679316,1050731.88747505,986159.919965185,951886.48542235,939932.096089714,926478.740031945,NA,NA,750000
3,189799.232356256,472709.690466127,611086.378376522,826132.852209854,993197.449817402,1105171.02749567,1059502.93679995,948792.60800682,923280.605471288,895489.110773921,NA,NA,750000
3,662681.582468303,798504.066590158,847116.687421091,922539.696459921,1073723.89988206,1120187.37241969,1028519.00665428,999493.042713561,992027.36105539,983988.547206036,NA,NA,750000
3,625093.939230488,825297.888923101,888305.367676584,1021762.48229801,1147140.63096587,1222193.99247491,1126326.15863654,1067458.31760744,1067010.99585114,1066262.59775231,NA,NA,750000
3,327009.458231363,575431.777381377,710528.329362278,814568.002504073,894323.325191084,928863.578729145,878600.420801321,863384.457089568,858094.772469551,854817.431856269,NA,NA,750000
3,525912.746465957,667416.665316853,758748.186565916,983558.41277453,1023578.71919225,1039939.19416187,1020950.57833908,1012672.39425062,1011311.29730498,1008590.76208286,NA,NA,750000
3,221642.501410966,415735.891566481,569562.436392932,770876.04751523,799676.190289111,811918.212309126,799226.700222406,791361.741779399,789026.006030281,783745.207324798,NA,NA,750000
3,270527.125871056,449322.874237606,536561.316569599,629695.332102874,752158.491798191,834945.095329283,758643.735496989,703577.302039647,688749.816273566,674953.059629934,NA,NA,750000
